Date,Vehicle_ID,Route,Distance_km,Idle_Time_hr,Fuel_Liters,Goods_Weight_kg,Fuel_Cost_INR
2024-01-01,V1,Route A,120,1.2,15,500,1500
2024-01-02,V2,Route B,80,0.8,10,300,1000
2024-01-03,V3,Route C,150,1.5,20,700,2000
2024-01-04,V4,Route D,200,2.0,25,900,2500
2024-01-05,V5,Route E,90,0.9,12,350,1200
2024-01-06,V1,Route A,120,1.2,15,500,1500
2024-01-07,V2,Route B,80,0.8,10,300,1000
2024-01-08,V3,Route C,150,1.5,20,700,2000
2024-01-09,V4,Route D,200,2.0,25,900,2500
2024-01-10,V5,Route E,90,0.9,12,350,1200
2024-01-11,V1,Route A,120,1.2,15,500,1500
2024-01-12,V2,Route B,80,0.8,10,300,1000
2024-01-13,V3,Route C,150,1.5,20,700,2000
2024-01-14,V4,Route D,200,2.0,25,900,2500
2024-01-15,V5,Route E,90,0.9,12,350,1200
2024-01-16,V1,Route A,120,1.2,15,500,1500
2024-01-17,V2,Route B,80,0.8,10,300,1000
2024-01-18,V3,Route C,150,1.5,20,700,2000
2024-01-19,V4,Route D,200,2.0,25,900,2500
2024-01-20,V5,Route E,90,0.9,12,350,1200
2024-01-21,V1,Route A,120,1.2,15,500,1500
2024-01-22,V2,Route B,80,0.8,10,300,1000
2024-01-23,V3,Route C,150,1.5,20,700,2000
2024-01-24,V4,Route D,200,2.0,25,900,2500
2024-01-25,V5,Route E,90,0.9,12,350,1200
2024-01-26,V1,Route A,120,1.2,15,500,1500
2024-01-27,V2,Route B,80,0.8,10,300,1000
2024-01-28,V3,Route C,150,1.5,20,700,2000
2024-01-29,V4,Route D,200,2.0,25,900,2500
2024-01-30,V5,Route E,90,0.9,12,350,1200
